Código;Nombre;Fabricante;Modelo;Número de Serial;Patente;Tipo;Clasificación 1;Clasificación 2;Ubicado en ó es Parte de;Formulario Personalizado
PTAD-0006;PLATAFORMA TRABAJO ALTURA;JLG;450 AJ;3001104544;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2007;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0007;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300146546;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2011;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0009;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300146531;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2011;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0011;PLATAFORMA TRABAJO ALTURA;JLG;1250 AJP;0300138537S;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2009;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0012;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300138779;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2009;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0013;PLATAFORMA TRABAJO ALTURA;JLG;1250 AJP;300138536;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2010;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0014;PLATAFORMA TRABAJO ALTURA;JLG;1250 AJP;300144329;KJSR-61;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2011;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0015;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;300126513;CDDH-27;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2008;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
PTAD-0017;PLATAFORMA TRABAJO ALTURA;JLG;800 AJ;0300261267;LRBY-62;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0018;PLATAFORMA TRABAJO ALTURA;JLG;800 AJ;0300261269;LRBY-61;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2020;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;VENTA
PTAD-0019;PLATAFORMA TRABAJO ALTURA;JLG;1350 SJP;300265644;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;FUERA DE SERVICIO - REPARACION - MANTENCION
PTAD-0020;PLATAFORMA TRABAJO ALTURA;JLG;1350 SJP;300263885;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
PTAD-0021;PLATAFORMA TRABAJO ALTURA;JLG;1350 SJP;300265897;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
PTAD-0022;PLATAFORMA TRABAJO ALTURA;JLG;800AJ;0300189788;;PLATAFORMAS ELEVADORAS;MAQUINARIA SEMIPESADA;2015;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
